Instrument,Pointsize,Percentage,PerBlock,PerTrade,AssetClass,Currency,Description,Slippage,DayTradingMultiplier
A,10,0,0,0,Ags,CNY,豆一,0,
AG,15,0,0,0,Metals,CNY,银,0,
AL,5,0,0,0,Metals,CNY,铝,0,
AP,10,0,0,0,Ags,CNY,苹果,0,
AU,1000,0,0,0,Metals,CNY,金,0,
BU,10,0,0,0,Unknown,CNY,石油沥青,0,
C,10,0,0,0,Ags,CNY,玉米,0,
CF,5,0,0,0,Ags,CNY,棉花,0,
CU,5,0,0,0,Metals,CNY,铜,0,
EG,10,0,0,0,Unknown,CNY,乙二醇,0,
FG,20,0,0,0,Unknown,CNY,玻璃,0,
FU,10,0,0,0,OilGas,CNY,燃料油,0,
HC,10,0,0,0,Metals,CNY,热轧卷板,0,
I,100,0,0,0,Metals,CNY,铁矿石,0,
IC,200,0.000023,0,0,Equity,CNY,沪深,0,15
IF,300,0.000023,0,0,Equity,CNY,中证,0,15
J,100,0,0,0,OilGas,CNY,焦炭,0,
JD,10,0,0,0,Ags,CNY,鸡蛋,0,
JM,60,0,0,0,OilGas,CNY,焦煤,0,
L,5,0,0,0,Unknown,CNY,聚乙烯,0,
M,10,0,0,0,Ags,CNY,豆粕,0,
MA,10,0,0,0,Unknown,CNY,甲醇,0,
NI,1,0,0,0,Metals,CNY,镍,0,
OI,10,0,0,0,Ags,CNY,菜籽油,0,
P,10,0,0,0,Ags,CNY,棕榈油,0,
PP,5,0,0,0,Unknown,CNY,聚丙烯,0,
RB,10,0,0,0,Metals,CNY,螺纹钢,0,
RM,10,0,0,0,Ags,CNY,菜粕,0,
RU,10,0,0,0,Unknown,CNY,天然橡胶,0,
SA,20,0,0,0,Unknown,CNY,纯碱,0,
SC,1000,0,0,0,OilGas,CNY,原油,0,
SN,1,0,0,0,Metals,CNY,锡,0,
SP,10,0,0,0,Unknown,CNY,纸浆,0,
SR,10,0,0,0,Ags,CNY,白砂糖,0,
TA,5,0,0,0,Unknown,CNY,精对苯二甲酸,0,
V,5,0,0,0,Unknown,CNY,聚氯乙烯,0,
Y,10,0,0,0,Ags,CNY,豆油,0,
ZN,5,0,0,0,Metals,CNY,锌,0,